12/31/2002,367951.46
01/31/2003,374356.07
02/28/2003,378555.87
03/31/2003,383925.01
04/30/2003,402203.01
05/31/2003,410043.98
06/30/2003,377633.08
07/31/2003,379804.96
08/31/2003,376748.47
09/30/2003,380448.40
10/31/2003,390591.11
11/30/2003,394481.33
12/31/2003,398927.16
01/31/2004,406581.89
02/29/2004,409957.33
03/31/2004,411234.18
04/30/2004,413472.08
05/31/2004,418046.87
06/30/2004,421012.17
07/31/2004,416449.55
08/31/2004,419212.74
09/30/2004,424878.35
10/31/2004,421243.81
11/30/2004,430505.60
12/31/2004,446536.62
01/31/2005,444593.27
02/28/2005,448247.80
03/31/2005,451419.98
04/30/2005,443982.92
05/31/2005,451774.89
06/30/2005,438221.64
07/31/2005,450962.39
08/31/2005,446772.88
09/30/2005,451527.82
10/31/2005,452447.43
11/30/2005,458256.97
12/31/2005,451404.81
01/31/2006,458222.28
02/28/2006,460326.13
03/31/2006,471322.61
04/30/2006,467683.54
05/31/2006,466356.31
06/30/2006,468741.56
07/31/2006,498938.55
08/31/2006,508348.74
09/30/2006,513844.14
10/31/2006,527034.98
11/30/2006,533346.70
12/31/2006,530111.94
01/31/2007,536228.98
02/28/2007,535404.25
03/31/2007,544433.43
04/30/2007,551759.90
05/31/2007,558808.49
06/30/2007,556603.22
07/31/2007,557325.06
08/31/2007,557544.40
09/30/2007,565977.62
10/31/2007,568557.06
11/30/2007,566035.24
12/31/2007,562362.38
01/31/2008,560062.83
02/29/2008,560213.59
03/31/2008,566610.43
04/30/2008,570876.41
05/31/2008,573587.94
06/30/2008,565833.60
07/31/2008,560711.95
08/31/2008,564201.68
09/30/2008,558220.46
10/31/2008,535481.39
11/30/2008,535703.90
12/31/2008,537744.10
01/31/2009,531568.00
02/28/2009,525126.24
03/31/2009,533702.59
04/30/2009,544108.34
05/31/2009,547866.79
06/30/2009,550723.11
07/31/2009,560727.08
08/31/2009,567506.46
09/30/2009,574932.74
10/31/2009,576694.80
11/30/2009,585922.59
12/31/2009,581941.85
01/31/2010,583129.07
02/28/2010,590577.12
03/31/2010,602552.01
04/30/2010,608446.31
05/31/2010,603774.15
06/30/2010,603240.37
07/31/2010,614324.20
08/31/2010,615282.33
09/30/2010,646778.81
10/31/2010,650624.71
11/30/2010,638704.77
12/31/2010,617239.59
01/31/2011,609584.79
02/28/2011,625649.94
03/31/2011,631242.04
04/30/2011,640170.56
05/31/2011,646111.37
06/30/2011,637514.13
07/31/2011,638606.10
08/31/2011,637335.51
09/30/2011,634990.13
10/31/2011,646550.27
11/30/2011,650451.13
12/31/2011,649396.02
01/31/2012,658032.25
02/29/2012,668142.76
03/31/2012,673394.54
04/30/2012,678887.62
05/31/2012,676410.54
06/30/2012,685237.87
07/31/2012,690619.60
08/31/2012,694972.74
09/30/2012,700092.78
10/31/2012,703497.63
11/30/2012,704161.66
12/31/2012,701485.40
01/31/2013,707913.35
02/28/2013,713036.93
03/31/2013,722142.95
04/30/2013,728790.92
05/31/2013,727981.18
06/30/2013,726360.77
07/31/2013,734514.53
08/31/2013,687368.96
09/30/2013,693628.82
10/31/2013,702763.65
11/30/2013,709192.44
12/31/2013,708002.23
01/31/2014,709356.94
02/28/2014,721487.46
03/31/2014,729786.94
04/30/2014,735574.20
05/31/2014,741168.83
06/30/2014,748341.36
07/31/2014,748688.22
08/31/2014,762783.60
09/30/2014,760646.20
10/31/2014,768915.89
11/30/2014,777813.13
12/31/2014,776522.34
01/31/2015,782182.61
02/28/2015,791647.88
03/31/2015,812955.70
04/30/2015,813735.27
05/31/2015,816416.14
06/30/2015,805171.44
07/31/2015,811426.73
08/31/2015,800001.07
09/30/2015,801917.97
10/31/2015,817927.45
11/30/2015,821515.23
12/31/2015,818740.84
01/31/2016,815046.56
02/29/2016,819951.70
03/31/2016,836028.70
04/30/2016,839399.60
05/31/2016,844379.55
06/30/2016,857214.62
07/31/2016,870041.70
