All Transactions Report Created: 2018-08-15 22:57:58 -0500
,
﻿Filter Criteria:,All Dates
,All Accounts
,Any Status
,Selected Transactions
,
﻿,"Split","Date","Type","Action","Check #","Security","Payee","Description","Category","Comm/Fee","Shares","Amount","Account","Memo/Notes"
﻿,"S","7/31/2018","Payment/Deposit","EFT",,"","IBM Paycheck","Transfer:[Fidelity HSA XX5575]","Transfer:[Fidelity HSA XX5575]","",,"-262.50","Savings","Medical savings plan"
﻿,"S","7/31/2018","Payment/Deposit","EFT",,"","IBM Paycheck","Insurance:Life","Insurance:Life","",,"0.00","Savings","Life Insurance"
﻿,"S","7/31/2018","Payment/Deposit","EFT",,"","IBM Paycheck","Insurance:Life","Insurance:Life","",,"-78.54","Savings","LIfe Insurance (implied)"
﻿,"S","7/31/2018","Payment/Deposit","EFT",,"","IBM Paycheck","Uncategorized","Uncategorized","",,"-79.72","Savings","adjustment"
﻿,,"7/31/2018","Reinvest Dividend","",,"Vanguard LT TREASURY ADM","Vanguard LT TREASURY ADM","23.459 shares @ 11.660344","Investments:Reinvest Dividend","","23.459","0.00","IBM 401k Fidelity","DIVIDEND;VANG LT TREASURY ADM OQAX;as of 07/31/2018"
﻿,,"7/31/2018","Buy","",,"Vanguard LT TREASURY ADM","Vanguard LT TREASURY ADM","14.545 shares @ 11.660364","Investments:Buy","","14.545","-169.60","IBM 401k Fidelity","CONTRIBUTION;VANG LT TREASURY ADM OQAX;as of 07/31/2018"
﻿,,"7/31/2018","Buy","",,"Stable Value","Stable Value","25.307 shares @ 6.701703","Investments:Buy","","25.307","-169.60","IBM 401k Fidelity","CONTRIBUTION;INTEREST INCOME FUND OJFA;as of 07/31/2018"
﻿,,"7/31/2018","Dividend Income","",,"MMDA1","MMDA1","Investments:Dividend Income","Investments:Dividend Income","",,"0.04","GD IRA Ameritrade","MONEY MARKET INTEREST"
﻿,,"7/31/2018","Dividend Income","",,"MMDA1","MMDA1","Investments:Dividend Income","Investments:Dividend Income","",,"1.48","TD IRA Ameritrade","MONEY MARKET INTEREST"
﻿,,"7/30/2018","Payment/Deposit","",,"","Home Depot","Home:Home Improvement","Home:Home Improvement","",,"-30.97","Discover 3128(6)",
﻿,,"7/30/2018","Payment/Deposit","",,"","Wal-Mart","Shopping","Shopping","",,"-110.68","Discover 3128(6)",
﻿,,"7/29/2018","Payment/Deposit","",,"","Levelup Planetsub Mapcgrqp","Uncategorized","Uncategorized","",,"-18.31","Discover4221(6)",
﻿,,"7/28/2018","Payment/Deposit","",,"","Off Broadway","Clothing:Greg","Clothing:Greg","",,"-105.05","Discover4221(6)","Sandals/shoes"
﻿,,"7/27/2018","Payment/Deposit","",,"","Wild Birds Unlimited","Pets","Pets","",,"-28.06","Discover 3128(6)",
﻿,,"7/27/2018","Payment/Deposit","",,"","Panera Bread","Food & Dining:Fast Food","Food & Dining:Fast Food","",,"-6.52","Discover 3128(6)",
﻿,,"7/27/2018","Payment/Deposit","",,"","iTunes","Entertainment","Entertainment","",,"-16.35","Discover 3128(6)","HBO"
﻿,,"7/27/2018","Payment/Deposit","",,"","Discover Card","Transfer:[Checking]","Transfer:[Checking]","",,"3,743.57","Discover 3128(6)","payment (auto)"
﻿,,"7/27/2018","Payment/Deposit","",,"","Discover Card","Transfer:[Discover 3128(6)]","Transfer:[Discover 3128(6)]","",,"-3,743.57","Checking","payment (auto)"
﻿,,"7/27/2018","Payment/Deposit","",,"","KANSAS GAS SERVI","Utilities:Gas & Electric","Utilities:Gas & Electric","",,"-93.00","Checking",
﻿,,"7/26/2018","Payment/Deposit","",,"","From savings","Transfer:[Checking]","Transfer:[Checking]","",,"-35,000.00","Savings",
﻿,,"7/26/2018","Payment/Deposit","",,"","From savings","Transfer:[Savings]","Transfer:[Savings]","",,"35,000.00","Checking",
﻿,,"7/26/2018","Payment/Deposit","",,"","Amazon","Shopping","Shopping","",,"-11.99","Discover 3128(6)",
﻿,,"7/26/2018","Payment/Deposit","",,"","Ancestry.Com","Shopping:Hobbies","Shopping:Hobbies","",,"-19.95","Discover 3128(6)",
﻿,,"7/26/2018","Payment/Deposit","",,"","Amazon","Shopping","Shopping","",,"-9.99","Discover 3128(6)",
