dohlcv Date,Open,High,Low,Close,Volume,Adj Close
2002-04-09,5.49,5.49,5.49,5.49,000,2.374184
2002-04-08,5.52,5.52,5.52,5.52,000,2.387158
2002-04-05,5.50,5.50,5.50,5.50,000,2.378509
2002-04-04,5.51,5.51,5.51,5.51,000,2.382833
2002-04-03,5.53,5.53,5.53,5.53,000,2.391482
2002-04-02,5.60,5.60,5.60,5.60,000,2.421754
2002-04-01,5.62,5.62,5.62,5.62,000,2.430403
2002-03-28,5.62,5.62,5.62,5.62,000,2.430403
2002-03-27,5.62,5.62,5.62,5.62,000,2.430403
2002-03-26,5.57,5.57,5.57,5.57,000,2.408781
2002-03-25,5.56,5.56,5.56,5.56,000,2.404456
2002-03-22,5.62,5.62,5.62,5.62,000,2.430403
2002-03-21,5.68,5.68,5.68,5.68,000,2.456351
2002-03-20,5.68,5.68,5.68,5.68,000,2.456351
2002-03-19,5.75,5.75,5.75,5.75,000,2.486623
2002-03-18,5.74,5.74,5.74,5.74,000,2.482298
2002-03-15,5.73,5.73,5.73,5.73,000,2.477973
2002-03-14,5.65,5.65,5.65,5.65,000,2.443377
2002-03-13,5.66,5.66,5.66,5.66,000,2.447701
2002-03-12,5.69,5.69,5.69,5.69,000,2.460675
2002-03-11,5.70,5.70,5.70,5.70,000,2.465
2002-03-08,5.67,5.67,5.67,5.67,000,2.452026
2002-03-07,5.66,5.66,5.66,5.66,000,2.447701
2002-03-06,5.69,5.69,5.69,5.69,000,2.460675
2002-03-05,5.60,5.60,5.60,5.60,000,2.421754
2002-03-04,5.64,5.64,5.64,5.64,000,2.439052
2002-03-01,5.52,5.52,5.52,5.52,000,2.387158
2002-02-28,5.43,5.43,5.43,5.43,000,2.348237
2002-02-27,5.45,5.45,5.45,5.45,000,2.356886
2002-02-26,5.45,5.45,5.45,5.45,000,2.356886
2002-02-25,5.47,5.47,5.47,5.47,000,2.365535
2002-02-22,5.37,5.37,5.37,5.37,000,2.322289
2002-02-21,5.34,5.34,5.34,5.34,000,2.309316
2002-02-20,5.37,5.37,5.37,5.37,000,2.322289
2002-02-19,5.31,5.31,5.31,5.31,000,2.296342
2002-02-15,5.43,5.43,5.43,5.43,000,2.348237
2002-02-14,5.46,5.46,5.46,5.46,000,2.36121
2002-02-13,5.47,5.47,5.47,5.47,000,2.365535
2002-02-12,5.43,5.43,5.43,5.43,000,2.348237
2002-02-11,5.45,5.45,5.45,5.45,000,2.356886
2002-02-08,5.37,5.37,5.37,5.37,000,2.322289
2002-02-07,5.28,5.28,5.28,5.28,000,2.283368
2002-02-06,5.28,5.28,5.28,5.28,000,2.283368
2002-02-05,5.30,5.30,5.30,5.30,000,2.292017
2002-02-04,5.34,5.34,5.34,5.34,000,2.309316
2002-02-01,5.47,5.47,5.47,5.47,000,2.365535
2002-01-31,5.51,5.51,5.51,5.51,000,2.382833
2002-01-30,5.43,5.43,5.43,5.43,000,2.348237
2002-01-29,5.37,5.37,5.37,5.37,000,2.322289
2002-01-28,5.49,5.49,5.49,5.49,000,2.374184
2002-01-25,5.52,5.52,5.52,5.52,000,2.387158
2002-01-24,5.52,5.52,5.52,5.52,000,2.387158
2002-01-23,5.47,5.47,5.47,5.47,000,2.365535
2002-01-22,5.41,5.41,5.41,5.41,000,2.339587
2002-01-18,5.45,5.45,5.45,5.45,000,2.356886
2002-01-17,5.51,5.51,5.51,5.51,000,2.382833
2002-01-16,5.46,5.46,5.46,5.46,000,2.36121
2002-01-15,5.56,5.56,5.56,5.56,000,2.404456
2002-01-14,5.53,5.53,5.53,5.53,000,2.391482
2002-01-11,5.61,5.61,5.61,5.61,000,2.426079
2002-01-10,5.67,5.67,5.67,5.67,000,2.452026
2002-01-09,5.68,5.68,5.68,5.68,000,2.456351
2002-01-08,5.73,5.73,5.73,5.73,000,2.477973
2002-01-07,5.78,5.78,5.78,5.78,000,2.499596
2002-01-04,5.81,5.81,5.81,5.81,000,2.51257
2002-01-03,5.77,5.77,5.77,5.77,000,2.495272
2002-01-02,5.72,5.72,5.72,5.72,000,2.473649
2001-12-31,5.72,5.72,5.72,5.72,000,2.473649
2001-12-28,5.78,5.78,5.78,5.78,000,2.499596
2001-12-27,5.74,5.74,5.74,5.74,000,2.482298
2001-12-26,5.70,5.70,5.70,5.70,000,2.465
2001-12-24,5.66,5.66,5.66,5.66,000,2.447701
2001-12-21,5.65,5.65,5.65,5.65,000,2.443377
2001-12-20,5.63,5.63,5.63,5.63,000,2.434728
2001-12-19,5.68,5.68,5.68,5.68,000,2.456351
2001-12-18,5.65,5.65,5.65,5.65,000,2.443377
2001-12-17,5.60,5.60,5.60,5.60,000,2.421754
